회사명,시장구분,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
케이뱅크,유가,279570,은행 및 저축기관,은행 및 저축기관,2026-03-05,12월,최우형,http://www.kbanknow.com,서울특별시
티엠씨,유가,217590,절연선 및 케이블 제조업,"선박용케이블, 해양용케이블, 전력용케이블, 광케이블 등",2025-12-15,12월,지영완,http://www.tmccable.com,충청남도
삼성에피스홀딩스,유가,0126Z0,기타 금융업,지주회사,2025-11-24,12월,김경아,http://www.samsungepisholdings.com,인천광역시
삼양바이오팜,유가,0120G0,의약품 제조업,의료기기 및 의약품,2025-11-24,12월,김경진,http://www.samyangbiopharm.com,경기도
명인제약,유가,317450,의약품 제조업,"신경정신계열, 구강계열 완제의약품",2025-10-01,12월,"이관순,차봉권",http://www.myunginph.co.kr,경기도
대한조선,유가,439260,선박 및 보트 건조업,선박 및 보트 건조업,2025-08-01,12월,"왕삼동, 이석문",http://www.daehanship.com,전라남도
대한조선,유가,439260,선박 및 보트 건조업,선박 및 보트 건조업,2025-08-01,12월,"왕삼동, 이석문",http://www.daehanship.com,전남광주통합특별시
대신밸류리츠,유가,0030R0,신탁업 및 집합투자업,부동산 임대,2025-07-10,08월,김광진,http://www.daishinvaluereit.com/,서울특별시
달바글로벌,유가,483650,기타 화학제품 제조업,"기초 화장품, 건강기능식품 등",2025-05-22,12월,반성연,http://dalbaglobal.com,서울특별시
씨케이솔루션,유가,480370,일반 목적용 기계 제조업,"드라이룸/클린룸 등 건물용 기계, 장비 설치 공사업",2025-03-17,12월,"김유곤, 안근표 (공동 대표이사)",http://www.cksolution.co.kr/,경기도
서울보증보험,유가,031210,보험업,"보증보험, 신용보험 등",2025-03-14,12월,이명순,http://www.sgic.co.kr,서울특별시
LG씨엔에스,유가,064400,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컨설팅, 시스템 구축/운영, 토탈 아웃소싱 및 AI, 클라우드·스마트팩토리 등 IT신기술 기반의 DX사업",2025-02-05,12월,현신균,http://www.lgcns.com,서울특별시
GS피앤엘,유가,499790,기타 금융업,지주회사,2024-12-23,12월,박민수,http://www.gspnl.com,서울특별시
엠앤씨솔루션,유가,484870,특수 목적용 기계 제조업,방위산업용 유압식/전기식 부품 및 시스템,2024-12-16,12월,김병근,http://www.mncsolution.com,경상남도
KB발해인프라,유가,415640,신탁업 및 집합투자업,,2024-11-29,12월,법인이사 케이비자산운용(주),,서울특별시
더본코리아,유가,475560,상품 종합 도매업,프랜차이즈,2024-11-06,12월,백종원,http://www.theborn.co.kr/,서울특별시
한화비전,유가,489790,통신 및 방송 장비 제조업,비금융지주회사,2024-09-27,12월,김기철,http://www.hanwhavision.com,경기도
전진건설로봇,유가,079900,특수 목적용 기계 제조업,콘크리트 펌프카,2024-08-19,12월,"고현국, 이형환 (각자대표)",,충청북도
HS효성,유가,487570,기타 금융업,지주사업,2024-07-29,12월,"노기수, 안성훈 (각자 대표이사)",http://www.hshyosung.com,서울특별시
산일전기,유가,062040,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","유입, 몰드, 주상, 건식 변압기 등",2024-07-29,12월,"박동석, 한익희 (공동대표)",http://www.sanil.co.kr,경기도
시프트업,유가,462870,소프트웨어 개발 및 공급업,게임 소프트웨어,2024-07-11,12월,김형태,http://shiftup.co.kr,서울특별시
신한글로벌액티브리츠,유가,481850,신탁업 및 집합투자업,신탁 및 집합투자,2024-07-01,02월,조준우,http://shglobalreit.com,서울특별시
